orden,linea,entrega,fecha_ingreso_inventario,fecha_aproximada_necesidad,dia_semana_aproximado,mes_aproximado,año_aproximado,fecha_entrega_real,nit_proveedor,CreationDate_proveedor,cantidad,pais,forma_envio,unidad_de_medida/U,terminos_de_pago,categoria_,STATUS_08,cumplio,dias_diferencia_entrega
77725840,04,01,2024-10-17,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,1900.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,24,01,2024-10-17,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,140.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725840,20,01,2024-10-17,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,110.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,14,01,2024-10-17,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,60.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725344,01,01,2024-10-17,2024-09-12,Thursday,September,2024,2024-09-27,913205827615419,2022-08-02 10:01:37.770,210.0,CHINA,AEREO,OZ,GIRO ANTICIPADO,PROGRAMA VARIOS,activo,0,15
77725332,01,01,2024-10-17,2024-09-24,Tuesday,September,2024,2024-10-03,364162273,2022-04-08 10:11:05.980,600.0,ESTADOS UNIDOS,AEREO,OZ,GIRO ANTICIPADO,OTROS,activo,0,9
77725840,12,01,2024-10-17,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,100.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,09,01,2024-10-17,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,50.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,08,01,2024-10-17,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,93.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725840,06,01,2024-10-17,2024-10-07,Monday,October,2024,2024-10-07,411234968,2021-11-19 08:24:02.910,12.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77724896,01,01,2024-10-17,2024-07-26,Friday,July,2024,2024-08-26,042507468,2020-09-03 14:53:06.960,800.0,ESTADOS UNIDOS,FERREO,OZ,A 90 DIAS,LENTES Y SUS ACCESORIOS,activo,0,31
77725344,02,01,2024-10-17,2024-09-12,Thursday,September,2024,2024-09-27,913205827615419,2022-08-02 10:01:37.770,150.0,CHINA,AEREO,OZ,GIRO ANTICIPADO,COMPONENTES ELECTRONICOS,activo,0,15
